batch,model,accuracy,precision,recall,f1,positive_ratio,drift_score,avg_confidence
1,Logistic Regression,0.8728557013118062,0.8484848484848485,0.89171974522293,0.8695652173913043,0.49949545913218973,0.0,0.8282026680829366
1,Naive Bayes,0.8536831483350151,0.8367768595041323,0.8598726114649682,0.8481675392670157,0.49949545913218973,0.0,0.8282026680829366
2,Logistic Regression,0.8773125608568647,0.8651252408477842,0.8891089108910891,0.876953125,0.5053554040895814,0.015417359897227208,0.8367696855529834
2,Naive Bayes,0.8490749756572541,0.8378378378378378,0.8594059405940594,0.8484848484848485,0.5053554040895814,0.015417359897227208,0.8367696855529834
3,Logistic Regression,0.8928571428571429,0.8832391713747646,0.9054054054054054,0.894184938036225,0.5125482625482626,0.01204740673204346,0.8369096786110839
3,Naive Bayes,0.86003861003861,0.8525519848771267,0.8706563706563707,0.8615090735434575,0.5125482625482626,0.01204740673204346,0.8369096786110839
4,Logistic Regression,0.8818652849740932,0.8817427385892116,0.8817427385892116,0.8817427385892116,0.49948186528497407,0.01806183775746575,0.8344180398764405
4,Naive Bayes,0.8466321243523316,0.8508403361344538,0.8402489626556017,0.8455114822546973,0.49948186528497407,0.01806183775746575,0.8344180398764405
5,Logistic Regression,0.8739669421487604,0.863265306122449,0.8849372384937239,0.8739669421487604,0.506198347107438,0.0055241644124636195,0.8317155253381318
5,Naive Bayes,0.8522727272727273,0.8411405295315683,0.8640167364016736,0.8524251805985552,0.506198347107438,0.0055241644124636195,0.8317155253381318
6,Logistic Regression,0.8967551622418879,0.9034749034749034,0.8948374760994264,0.899135446685879,0.5093411996066863,0.0026228374792724917,0.8454955584765156
6,Naive Bayes,0.8692232055063913,0.8764478764478765,0.8680688336520076,0.8722382324687801,0.5093411996066863,0.0026228374792724917,0.8454955584765156
7,Logistic Regression,0.879110251450677,0.8784530386740331,0.8899253731343284,0.8841519925857275,0.5251450676982592,0.011441709260097332,0.8333381398510854
7,Naive Bayes,0.8462282398452611,0.849721706864564,0.8544776119402985,0.8520930232558139,0.5251450676982592,0.011441709260097332,0.8333381398510854
8,Logistic Regression,0.8942307692307693,0.8895027624309392,0.9061913696060038,0.8977695167286245,0.5221153846153846,0.004459656542149128,0.8365673501437589
8,Naive Bayes,0.8576923076923076,0.8598130841121495,0.8630393996247655,0.8614232209737828,0.5221153846153846,0.004459656542149128,0.8365673501437589
9,Logistic Regression,0.8947916666666667,0.8857715430861723,0.9094650205761317,0.8974619289340101,0.5197916666666667,0.008258896434936483,0.8437587542339776
9,Naive Bayes,0.8552083333333333,0.8622129436325678,0.8497942386831275,0.8559585492227979,0.5197916666666667,0.008258896434936483,0.8437587542339776
10,Logistic Regression,0.8814968814968815,0.8760869565217392,0.8760869565217392,0.8760869565217392,0.4781704781704782,0.002929731948629149,0.8351952421991595
10,Naive Bayes,0.843035343035343,0.8456375838926175,0.8217391304347826,0.8335170893054025,0.4781704781704782,0.002929731948629149,0.8351952421991595
